sn,title,genre,cost,earning,duration,status,language,lead actor
1,gadar,action,80,500,180,blockbuster,hi,sunny deol
2,singham,action,60,500,120,blockbuster,hi,ajay devgn
3,uri,action,40,200,135,hit,hi,vicky kaushal
4,conjuring,horror,800,1020,90,hit,en,nun
5,bajirao mastani,historical,150,600,170,hit,hi,ranveer singh
6,kgf,action,450,1002,150,blockbuster,te,yash
7,rrr,action,550,900,180,blockbuster,te,ramcharan
8,kashmir files,historical,15,200,130,hit,hi,anupam kher
9,the nun,horror,100,130,140,average,en,nun
10,insidious,horror,100,145,90,average,en,pata nahi
11,omg,drama,30,60,150,hit,hi,paresh rawal
12,ms dhoni,biopic,60,160,150,hit,hi,ssr
13,spider man,action,300,700,130,hit,en,tobby
14,home alone,comedy,150,80,80,flop,en,baccha
15,hera pheri,comedy,20,100,160,blockbuster,hi,akshay kumar
16,harry potter,action,1000,1400,90,hit,en,daniel
17,shazam,scifi,450,698,150,hit,en,william josef
18,kanchana,horror,35,80,150,hit,te,raghav
19,kis kis ko pyaar karu,drama,10,6,130,flop,hi,kapil sharma
20,khiladi,action,10,60,135,hit,hi,akshay kumar
21,pushpa,action,250,800,155,blockbuster,te,allu arjun
22,pk,drama,120,490,160,hit,hi,aamir khan